study_time,attendance,gender,score
4,90,Male,78
6,95,Female,85
3,80,Female,67
8,98,Male,92
2,70,Female,58
5,88,Male,74
7,96,Female,90
1,60,Male,45
4,85,Female,73
6,90,Male,80
3,82,Female,38
8,50,Female,58
3,81,Female,43
6,83,Female,53
3,79,Female,48
4,97,Female,58
6,98,Male,75
10,72,Male,76
8,64,Male,67
4,86,Female,45
7,88,Female,67
5,52,Male,37
8,98,Female,79
9,68,Female,76
8,98,Male,82
6,90,Male,64
4,85,Male,51
2,98,Male,39
8,51,Female,70
8,78,Male,74
7,80,Male,73
6,71,Male,51
4,98,Male,43
9,96,Male,80
1,50,Female,12
9,85,Male,77
7,51,Male,57
4,97,Male,45
2,58,Male,37
3,86,Female,48
5,73,Female,43
8,61,Male,72
5,76,Female,44
1,84,Male,38
3,86,Female,41
9,51,Female,77
9,53,Female,62
10,63,Male,73
7,62,Female,69
5,90,Male,65
9,99,Female,83
3,74,Female,49
6,53,Female,47
6,66,Female,59
1,54,Male,18
1,57,Male,25
5,97,Female,55
10,91,Male,79
7,81,Female,59
10,57,Female,74
6,70,Male,48
6,96,Male,59
4,52,Female,31
6,51,Male,55
7,54,Male,65
2,73,Female,24
8,100,Male,73
3,56,Female,29
2,92,Male,30
9,60,Female,73
1,58,Female,18
8,51,Female,73
2,95,Male,32
2,93,Female,37
1,75,Female,29
1,69,Male,32
3,55,Female,43
3,81,Female,47
8,88,Female,64
10,97,Female,84
1,69,Female,26
7,66,Male,55
7,67,Female,54
2,93,Male,40
8,62,Male,70
5,81,Male,46
7,53,Female,59
1,59,Male,17
9,80,Female,75
6,62,Female,62
6,70,Male,51
4,74,Female,55
10,57,Female,84
1,61,Female,22
7,89,Female,66
3,100,Male,54
7,83,Female,64
2,70,Male,25
7,65,Female,62
4,66,Female,40
5,69,Female,46
5,80,Male,46
8,55,Female,73
2,88,Male,34
2,90,Male,48
6,62,Female,57
6,87,Male,56
9,95,Female,75
1,75,Female,36
10,72,Female,73
5,84,Male,49
7,65,Female,54
4,100,Female,45
8,95,Female,80
2,77,Female,26
3,78,Male,51
4,52,Female,41
9,59,Male,64
5,75,Male,54
3,55,Male,33
1,51,Female,11
2,94,Male,38
7,54,Male,50
4,70,Female,44
8,67,Female,65
9,50,Male,61
1,58,Male,21
4,57,Female,47
9,100,Female,78
2,95,Female,44
1,66,Male,35
10,63,Male,75
1,56,Female,15
6,90,Male,59
3,97,Male,47
3,65,Male,32
8,67,Female,77
9,74,Male,81
9,75,Male,84
10,60,Male,72
4,88,Male,57
5,65,Female,58
2,68,Male,38
4,69,Female,41
1,75,Male,32
7,87,Male,70
10,75,Female,73
7,80,Male,72
1,59,Female,17
1,98,Female,39
2,81,Male,35
1,57,Female,13
1,67,Female,17
5,60,Female,43
4,84,Male,41
1,81,Male,27
10,79,Female,92
8,52,Female,72
9,76,Male,71
9,88,Male,76
8,96,Female,80
2,52,Female,34
7,93,Male,72
7,88,Male,66
8,81,Male,72
6,86,Male,56
1,71,Female,31
5,98,Female,60
3,53,Female,29
6,67,Female,57
1,51,Male,23
9,90,Female,89
8,97,Female,74
6,60,Female,57
2,67,Female,32
5,84,Female,56
8,62,Male,62
1,76,Female,34
6,98,Male,64
5,85,Female,48
4,83,Male,45
2,86,Male,42
9,91,Male,73
5,56,Male,38
10,92,Male,85
10,55,Male,72
9,84,Male,75
8,76,Female,80
9,66,Male,82
5,72,Male,57
9,75,Female,79
6,98,Female,66
3,57,Female,31
2,68,Male,23
5,85,Male,45
4,84,Male,47
6,61,Female,53
10,53,Male,69
10,92,Male,80
6,95,Male,62
2,50,Female,21
6,69,Female,57
5,93,Male,66
2,59,Female,32
7,81,Male,68
7,77,Female,66
6,76,Female,57
10,66,Male,80
9,52,Female,74
6,58,Male,61
5,83,Male,60
1,98,Female,35
3,80,Male,36
9,51,Male,66
10,81,Male,83
10,90,Female,95
10,93,Male,84
7,78,Female,56
5,52,Male,51
3,74,Female,33
8,72,Male,79
5,56,Male,54
3,51,Male,41
8,53,Female,66
3,79,Female,39
7,62,Male,52
9,98,Female,89
3,51,Male,35
